transaction_amount,transaction_hour,customer_age,customer_tenure_months,merchant_risk_level,transaction_velocity,transaction_type,device_type,location_type,payment_method,is_fraud
3898.03,19,61,82,Low,3,POS,Mobile,Domestic,Card,1
2687.54,22,24,38,Low,2,POS,Desktop,Domestic,UPI,0
1723.86,20,34,63,Low,5,E-commerce,Mobile,International,UPI,0
2026.25,3,27,12,Low,3,In-App,Mobile,Domestic,Wallet,0
3175.3,8,55,22,Medium,8,E-commerce,Mobile,Domestic,UPI,1
648.4,23,56,3,Low,3,E-commerce,Mobile,Domestic,Wallet,0
14021.58,18,68,19,Medium,5,POS,Mobile,Domestic,UPI,0
9201.6,13,63,43,Low,3,E-commerce,Desktop,Domestic,Wallet,0
2626.88,21,42,87,Low,5,POS,Mobile,Domestic,Card,0
556.43,11,44,98,Medium,3,E-commerce,Mobile,Domestic,UPI,0
2850.37,3,47,67,Low,3,E-commerce,Mobile,Domestic,Card,0
187.34,6,47,87,Low,2,POS,Tablet,Domestic,UPI,0
77.83,16,60,113,Low,4,E-commerce,Mobile,Domestic,Card,1
744.95,0,51,5,Low,2,E-commerce,Mobile,Domestic,UPI,0
1552.64,13,50,29,High,2,POS,Desktop,Domestic,Card,0
5067.55,14,49,98,Low,1,In-App,Tablet,Domestic,Card,1
3247.26,11,59,108,Low,4,E-commerce,Tablet,Domestic,UPI,0
3393.84,11,29,5,High,8,E-commerce,Mobile,Domestic,Card,1
1385.61,5,58,93,Low,2,In-App,Desktop,Domestic,Card,0
1061.37,12,40,45,Low,3,POS,Desktop,Domestic,Wallet,1
1159.21,15,46,54,Low,2,E-commerce,Desktop,Domestic,UPI,1
10985.16,13,60,24,Low,3,E-commerce,Mobile,Domestic,UPI,1
102.34,6,18,103,Low,1,E-commerce,Mobile,Domestic,UPI,0
5044.11,15,37,21,Low,4,E-commerce,Desktop,International,Wallet,1
2160.88,22,27,32,Low,6,E-commerce,Desktop,Domestic,Card,0
1443.37,8,36,107,Low,2,In-App,Mobile,Domestic,Card,0
3229.8,13,40,5,Low,2,E-commerce,Mobile,Domestic,Wallet,1
1667.09,23,38,62,High,3,E-commerce,Mobile,Domestic,Wallet,0
5167.27,6,60,18,Medium,3,E-commerce,Desktop,Domestic,Card,0
5774.07,11,52,102,Low,4,E-commerce,Desktop,Domestic,Card,1
1369.25,2,65,35,Medium,9,POS,Mobile,Domestic,UPI,1
810.27,13,49,102,Low,3,In-App,Desktop,Domestic,Wallet,0
2243.37,18,27,80,Low,1,POS,Mobile,Domestic,Card,0
6086.39,10,19,99,Low,4,E-commerce,Desktop,Domestic,Wallet,1
591.4,4,68,114,Low,2,POS,Mobile,Domestic,Card,0
2438.55,22,53,88,Low,3,E-commerce,Mobile,Domestic,Card,0
2496.2,12,65,100,Low,5,E-commerce,Mobile,Domestic,UPI,0
3302.33,9,23,5,Medium,1,E-commerce,Mobile,Domestic,Card,0
352.66,6,60,9,High,2,In-App,Desktop,Domestic,UPI,0
3145.41,16,34,4,Low,5,POS,Mobile,Domestic,Wallet,0
5993.13,15,32,33,Low,3,POS,Mobile,Domestic,Card,1
495.16,7,53,91,High,2,In-App,Desktop,Domestic,Card,0
678.02,16,41,22,Low,4,POS,Desktop,Domestic,Wallet,0
8885.44,12,57,59,Low,1,POS,Mobile,Domestic,Card,0
499.11,10,46,11,High,3,E-commerce,Desktop,International,Card,1
4816.97,19,67,69,Medium,4,In-App,Mobile,Domestic,Card,1
1694.55,17,31,10,Low,2,E-commerce,Mobile,Domestic,UPI,0
709.99,4,19,3,Medium,4,E-commerce,Mobile,Domestic,Wallet,0
5115.02,5,65,15,Medium,2,E-commerce,Mobile,Domestic,Wallet,1
1473.34,19,39,110,Low,1,In-App,Mobile,Domestic,Card,1
1808.07,13,64,37,Low,1,E-commerce,Mobile,International,Card,1
1112.72,11,23,40,Low,3,E-commerce,Desktop,Domestic,Card,0
2247.05,3,26,17,Medium,1,POS,Desktop,International,Card,0
446.39,6,29,20,Medium,1,In-App,Desktop,Domestic,Card,0
1240.18,10,59,115,Low,9,E-commerce,Mobile,Domestic,Card,0
8717.9,19,56,4,Medium,0,E-commerce,Desktop,Domestic,Wallet,1
746.46,1,22,98,Medium,6,POS,Mobile,International,Wallet,1
2673.14,3,57,34,Low,3,E-commerce,Mobile,Domestic,Card,0
983.31,6,61,95,Low,3,E-commerce,Mobile,Domestic,UPI,0
3712.23,0,18,34,Medium,4,E-commerce,Mobile,Domestic,Wallet,1
350.67,14,27,67,Low,4,E-commerce,Desktop,Domestic,Card,0
8751.53,19,28,28,High,3,E-commerce,Desktop,Domestic,UPI,1
1511.88,21,44,105,Low,4,POS,Mobile,Domestic,UPI,0
673.13,23,40,101,Low,3,E-commerce,Mobile,Domestic,Wallet,1
190.84,7,37,116,Medium,7,E-commerce,Mobile,Domestic,UPI,1
465.09,4,22,93,Medium,3,In-App,Mobile,Domestic,UPI,0
1833.75,13,30,79,High,2,E-commerce,Mobile,Domestic,Wallet,1
1027.46,17,67,36,Low,1,E-commerce,Mobile,Domestic,UPI,1
4413.52,2,27,35,Low,1,E-commerce,Mobile,Domestic,Wallet,0
1409.19,1,66,41,Low,3,POS,Desktop,Domestic,UPI,0
714.92,21,68,59,High,3,E-commerce,Mobile,Domestic,Card,0
2400.25,15,53,74,Low,5,POS,Desktop,Domestic,UPI,1
3067.06,13,58,17,Medium,5,E-commerce,Mobile,Domestic,Wallet,0
456.93,15,67,30,Low,1,E-commerce,Mobile,Domestic,Card,0
458.66,10,33,54,Low,6,POS,Desktop,Domestic,Card,0
93.4,16,24,52,Low,2,E-commerce,Mobile,Domestic,UPI,0
3333.33,2,49,72,High,4,E-commerce,Mobile,Domestic,Card,1
2725.16,22,42,23,Low,7,E-commerce,Mobile,Domestic,Card,0
1609.14,22,61,19,Low,2,E-commerce,Mobile,Domestic,UPI,1
4647.48,4,43,37,Low,2,POS,Mobile,Domestic,UPI,1
4095.5,2,53,59,High,3,In-App,Mobile,Domestic,UPI,1
2200.83,14,45,107,Medium,3,E-commerce,Desktop,Domestic,Card,0
5067.53,22,61,36,High,3,In-App,Desktop,Domestic,UPI,1
576.18,4,29,68,Low,5,POS,Desktop,Domestic,Wallet,0
296.73,21,43,26,Low,3,E-commerce,Mobile,Domestic,Wallet,0
785.92,2,21,111,Low,3,In-App,Desktop,Domestic,Card,0
146.95,5,61,104,Medium,1,E-commerce,Mobile,Domestic,UPI,0
1893.79,22,40,27,Low,2,In-App,Mobile,Domestic,Card,0
6895.95,13,57,77,Medium,4,POS,Mobile,Domestic,UPI,0
100.35,23,41,62,Low,6,E-commerce,Mobile,Domestic,Card,0
325.58,1,48,62,Medium,4,POS,Mobile,International,Card,1
1504.61,17,47,52,Low,1,In-App,Mobile,Domestic,Card,1
6790.52,5,20,44,Low,4,E-commerce,Mobile,Domestic,Card,0
950.06,23,33,98,Low,1,E-commerce,Desktop,Domestic,UPI,0
1769.31,4,51,33,Low,5,In-App,Desktop,Domestic,UPI,0
106.15,13,55,110,High,0,E-commerce,Mobile,Domestic,Card,1
401.43,16,45,90,Medium,3,E-commerce,Desktop,Domestic,Wallet,1
10786.88,10,66,84,Low,1,POS,Mobile,Domestic,UPI,1
8389.51,0,61,63,Low,4,E-commerce,Desktop,Domestic,Wallet,0
12.38,9,58,72,Low,4,In-App,Mobile,Domestic,UPI,1
7581.6,8,65,80,Low,4,E-commerce,Mobile,Domestic,Card,1
2548.02,19,24,69,Low,2,E-commerce,Mobile,Domestic,Card,1
5060.84,11,25,34,Low,4,POS,Mobile,Domestic,Wallet,0
1516.23,0,24,111,Medium,3,In-App,Mobile,Domestic,Card,0
1812.09,23,54,27,Low,1,POS,Mobile,Domestic,UPI,1
1677.71,17,24,36,Low,4,In-App,Mobile,Domestic,UPI,1
2748.01,11,67,4,Low,4,POS,Mobile,Domestic,Wallet,0
376.04,1,35,106,Medium,0,E-commerce,Mobile,International,Card,1
76.08,0,65,53,Low,2,In-App,Mobile,Domestic,Card,0
920.17,0,56,114,Low,2,POS,Mobile,Domestic,Wallet,0
3049.25,0,38,71,Low,4,POS,Mobile,Domestic,UPI,0
563.66,21,51,37,Medium,3,E-commerce,Desktop,Domestic,UPI,1
2797.8,11,66,100,Low,5,In-App,Mobile,International,Wallet,0
8759.08,6,44,88,Medium,7,POS,Mobile,Domestic,UPI,1
246.52,3,25,79,Low,2,In-App,Mobile,Domestic,Card,1
2791.45,20,51,50,Medium,4,In-App,Desktop,Domestic,UPI,1
1466.34,19,35,113,Medium,4,POS,Mobile,Domestic,Wallet,0
5065.08,3,68,70,Medium,3,POS,Mobile,Domestic,Card,0
487.45,14,69,26,Medium,1,In-App,Mobile,International,Card,1
2949.22,0,58,90,Low,1,E-commerce,Mobile,Domestic,Card,1
4552.18,5,29,119,Low,3,E-commerce,Desktop,Domestic,Wallet,0
7233.58,13,39,25,Medium,1,In-App,Mobile,Domestic,Wallet,0
2874.09,13,68,33,Low,2,E-commerce,Mobile,International,Card,0
1718.78,9,57,67,Low,5,E-commerce,Mobile,Domestic,Card,0
2404.84,6,39,73,High,5,E-commerce,Mobile,International,Card,0
5079.58,22,25,37,Low,1,E-commerce,Mobile,Domestic,Wallet,0
2113.47,23,59,38,Low,4,In-App,Mobile,Domestic,Card,0
77.15,22,45,94,Medium,1,E-commerce,Mobile,Domestic,Card,0
6682.26,21,67,27,High,1,In-App,Mobile,Domestic,Card,1
2924.14,11,64,13,High,5,E-commerce,Tablet,Domestic,Card,0
2821.49,23,49,23,Low,0,E-commerce,Mobile,Domestic,UPI,0
607.33,18,28,67,Low,2,POS,Desktop,Domestic,UPI,0
2688.84,8,38,87,Medium,2,POS,Mobile,International,UPI,0
1251.63,2,43,99,Medium,4,POS,Mobile,Domestic,UPI,0
2633.38,3,31,118,Low,5,E-commerce,Mobile,Domestic,UPI,0
281.78,12,32,88,High,3,E-commerce,Mobile,Domestic,UPI,0
2681.23,9,31,55,Low,3,In-App,Desktop,Domestic,UPI,0
18604.31,13,29,37,Low,1,E-commerce,Mobile,Domestic,Wallet,0
123.53,5,53,12,Low,2,POS,Desktop,Domestic,Wallet,0
9449.66,7,20,54,High,4,POS,Mobile,International,Card,1
1306.01,18,61,20,Low,4,In-App,Desktop,Domestic,Card,0
5115.08,9,24,18,Low,4,E-commerce,Mobile,Domestic,Card,0
3812.58,21,56,7,High,1,In-App,Mobile,Domestic,Card,0
2092.64,4,68,116,Low,5,E-commerce,Desktop,Domestic,UPI,0
3352.82,4,63,118,Low,1,E-commerce,Desktop,Domestic,UPI,1
5269.92,4,18,90,Low,2,In-App,Mobile,Domestic,UPI,0
1294.38,8,56,76,Low,4,E-commerce,Desktop,Domestic,UPI,0
990.15,22,42,98,Low,4,E-commerce,Mobile,Domestic,Card,0
2753.49,8,48,112,Medium,4,E-commerce,Desktop,Domestic,UPI,0
4123.64,14,39,96,Low,3,E-commerce,Desktop,Domestic,Card,1
3591.71,8,27,94,Medium,2,E-commerce,Mobile,Domestic,UPI,0
3996.41,13,35,2,High,4,E-commerce,Mobile,International,UPI,1
1429.91,5,30,54,High,4,In-App,Mobile,Domestic,UPI,0
4257.1,21,25,8,Medium,5,E-commerce,Mobile,Domestic,UPI,1
320.18,19,26,33,High,2,E-commerce,Tablet,Domestic,UPI,1
1965.84,7,32,46,High,3,In-App,Mobile,International,Card,1
14.44,1,25,42,Low,2,E-commerce,Desktop,International,Wallet,0
981.07,4,50,119,Low,0,E-commerce,Mobile,Domestic,Wallet,0
1141.09,16,52,118,High,2,E-commerce,Mobile,Domestic,Card,1
1261.17,9,36,94,Medium,3,E-commerce,Tablet,Domestic,UPI,0
2972.44,13,47,63,Low,2,POS,Mobile,Domestic,UPI,0
1229.84,17,26,117,High,5,POS,Mobile,International,Card,1
1488.66,0,36,109,Low,5,In-App,Mobile,Domestic,UPI,0
678.03,21,64,106,Low,3,E-commerce,Mobile,Domestic,Wallet,0
1168.03,1,63,109,Low,1,E-commerce,Desktop,Domestic,Wallet,1
644.56,3,43,92,Low,1,In-App,Desktop,Domestic,UPI,1
190.03,12,18,77,Low,4,POS,Desktop,Domestic,UPI,0
2312.37,15,20,88,Low,4,E-commerce,Desktop,Domestic,Card,0
2758.15,4,51,33,Low,2,E-commerce,Mobile,Domestic,Card,1
2415.61,22,42,69,Low,6,E-commerce,Mobile,Domestic,UPI,1
1556.69,9,47,112,Medium,3,E-commerce,Mobile,Domestic,Card,0
1194.23,16,18,70,Low,2,E-commerce,Mobile,Domestic,Card,0
4975.53,10,35,4,High,2,E-commerce,Mobile,Domestic,UPI,0
1830.15,4,50,106,Medium,3,POS,Mobile,Domestic,UPI,0
1630.89,14,26,107,Medium,1,POS,Desktop,International,Card,1
64.94,3,24,58,Low,6,In-App,Mobile,Domestic,Wallet,1
1043.52,6,47,98,High,4,E-commerce,Desktop,Domestic,Card,1
1195.88,9,30,29,Low,2,In-App,Desktop,International,Wallet,0
1272.16,22,34,21,Low,7,E-commerce,Mobile,Domestic,Card,0
2169.78,23,30,26,Medium,4,E-commerce,Mobile,Domestic,UPI,0
1906.79,3,30,96,Medium,3,E-commerce,Mobile,Domestic,Card,0
2340.63,19,59,86,Low,2,E-commerce,Mobile,Domestic,Card,1
3619.18,4,55,41,Low,2,E-commerce,Mobile,Domestic,UPI,0
4191.43,4,54,78,Low,4,In-App,Mobile,Domestic,Card,0
3165.71,10,27,34,Low,4,In-App,Desktop,International,Card,1
7782.0,18,31,101,Low,5,POS,Mobile,Domestic,UPI,1
46.0,4,60,44,High,0,POS,Mobile,International,Card,0
544.7,20,22,1,High,3,POS,Desktop,Domestic,Wallet,0
18.98,7,53,32,High,3,E-commerce,Desktop,Domestic,Wallet,0
2606.58,6,52,32,Low,3,POS,Mobile,Domestic,UPI,0
5707.71,7,63,51,Low,2,E-commerce,Mobile,Domestic,Wallet,0
697.57,12,62,118,Low,0,E-commerce,Mobile,Domestic,UPI,0
6544.42,4,40,24,Medium,1,In-App,Mobile,Domestic,Card,1
155.4,17,22,44,Low,1,POS,Desktop,Domestic,UPI,1
6811.82,23,61,85,Medium,3,In-App,Mobile,Domestic,Wallet,0
1083.21,8,45,76,Medium,3,POS,Mobile,Domestic,UPI,0
267.35,1,40,84,High,2,POS,Mobile,Domestic,Card,0
1663.21,15,59,37,Low,3,POS,Mobile,Domestic,Wallet,0
741.9,13,51,84,Medium,2,E-commerce,Mobile,Domestic,Card,0
838.24,16,48,66,Low,2,E-commerce,Desktop,Domestic,Card,0
917.86,5,24,14,Low,2,E-commerce,Mobile,Domestic,Card,0
4061.71,2,24,17,Low,6,In-App,Mobile,Domestic,UPI,0
1936.77,16,21,88,Low,1,E-commerce,Tablet,Domestic,Wallet,0
932.4,12,61,94,Low,1,POS,Mobile,Domestic,Card,0
2356.16,5,49,15,Low,0,E-commerce,Mobile,Domestic,Wallet,0
3148.28,7,45,61,High,3,In-App,Mobile,Domestic,Wallet,1
795.78,5,21,49,Low,3,In-App,Mobile,Domestic,UPI,0
1334.17,15,56,98,Medium,1,In-App,Mobile,Domestic,Card,0
324.95,5,69,117,High,6,E-commerce,Mobile,Domestic,Card,1
499.63,16,62,8,Low,4,E-commerce,Mobile,Domestic,Card,0
2857.33,20,25,106,Low,3,E-commerce,Mobile,Domestic,Wallet,0
500.52,2,31,3,Low,3,E-commerce,Mobile,Domestic,Card,0
1861.96,22,47,75,Low,4,E-commerce,Mobile,Domestic,Card,0
3086.48,11,20,27,Low,4,E-commerce,Desktop,Domestic,Card,0
282.58,5,19,9,Low,5,In-App,Tablet,Domestic,Card,0
2094.35,20,27,15,Low,1,E-commerce,Desktop,Domestic,UPI,0
741.18,6,23,32,Medium,2,POS,Desktop,Domestic,Card,1
8237.16,10,24,118,Low,6,In-App,Desktop,Domestic,Card,1
1651.92,8,33,11,Medium,6,In-App,Mobile,Domestic,Card,0
4099.65,15,23,3,Low,0,E-commerce,Mobile,International,Wallet,1
1997.53,4,33,26,Low,1,In-App,Mobile,Domestic,Card,0
110.96,14,44,7,Low,4,E-commerce,Mobile,Domestic,Wallet,0
2507.01,20,29,92,High,4,POS,Desktop,International,UPI,1
7560.5,3,39,55,Medium,4,POS,Tablet,Domestic,UPI,1
2300.82,4,32,39,Medium,3,POS,Mobile,Domestic,Card,0
4275.76,6,39,4,Low,3,E-commerce,Mobile,Domestic,Card,0
5389.87,2,52,30,Medium,0,In-App,Mobile,Domestic,Card,1
647.19,3,65,38,Low,5,E-commerce,Mobile,Domestic,Card,0
595.79,14,67,51,Low,2,E-commerce,Mobile,Domestic,Card,0
2360.32,1,32,78,Low,3,E-commerce,Mobile,Domestic,UPI,0
1323.44,23,40,36,Low,3,POS,Desktop,Domestic,Card,0
4579.29,4,55,95,High,3,E-commerce,Mobile,Domestic,Card,1
5757.04,6,66,115,Medium,1,E-commerce,Mobile,Domestic,Wallet,0
1090.15,21,19,83,Low,4,POS,Desktop,Domestic,Card,0
675.82,16,19,113,High,0,E-commerce,Desktop,Domestic,Card,1
3791.3,7,66,117,Low,3,In-App,Mobile,Domestic,Wallet,1
803.29,8,36,60,Low,1,E-commerce,Desktop,Domestic,Card,0
4323.57,9,22,51,High,3,In-App,Tablet,Domestic,Card,0
1377.98,10,21,76,Low,1,In-App,Desktop,Domestic,Wallet,1
2753.16,0,45,49,Medium,4,E-commerce,Desktop,Domestic,Card,0
251.03,14,35,15,Low,4,E-commerce,Mobile,Domestic,Card,0
2444.48,7,57,73,High,3,E-commerce,Mobile,Domestic,UPI,1
1502.64,18,58,91,Medium,5,In-App,Mobile,Domestic,Card,0
2208.4,11,67,84,Low,0,In-App,Mobile,Domestic,Card,0
459.85,5,48,28,Medium,2,E-commerce,Mobile,Domestic,UPI,1
3337.8,9,39,25,High,3,E-commerce,Mobile,Domestic,Card,1
4965.74,23,28,80,Low,7,POS,Mobile,Domestic,Card,1
610.73,4,65,82,Low,4,E-commerce,Mobile,Domestic,Wallet,0
251.53,23,33,114,Medium,2,POS,Mobile,Domestic,Card,0
59.81,6,21,36,Low,2,E-commerce,Mobile,Domestic,Wallet,0
2567.86,6,38,4,High,5,POS,Mobile,International,Wallet,1
2335.46,22,58,21,Low,2,E-commerce,Mobile,Domestic,Card,0
1977.99,21,62,91,Low,3,E-commerce,Tablet,Domestic,Card,1
659.74,21,42,65,Medium,3,In-App,Mobile,Domestic,UPI,0
1239.46,8,37,69,Low,3,E-commerce,Mobile,Domestic,Wallet,0
2256.44,14,25,108,Low,9,E-commerce,Mobile,Domestic,UPI,0
1716.75,5,60,110,Low,5,POS,Desktop,Domestic,Card,1
11012.83,15,26,10,High,4,In-App,Mobile,Domestic,Card,0
366.73,6,35,50,Low,2,In-App,Desktop,Domestic,Card,0
2969.79,14,48,85,Low,1,E-commerce,Mobile,Domestic,Wallet,0
1295.12,22,69,10,Medium,3,E-commerce,Mobile,International,Card,1
1397.41,1,52,90,Medium,5,In-App,Desktop,Domestic,Card,0
3161.06,7,47,16,Low,0,E-commerce,Desktop,International,Card,0
2947.68,11,35,38,Low,3,POS,Desktop,Domestic,Card,1
11848.47,10,36,67,Low,4,E-commerce,Desktop,Domestic,Card,0
343.55,5,58,20,Medium,5,E-commerce,Mobile,Domestic,Card,1
274.84,19,41,111,Low,3,E-commerce,Desktop,Domestic,UPI,0
3221.46,12,67,69,Low,2,E-commerce,Desktop,Domestic,Wallet,0
2159.17,22,39,70,Low,3,POS,Mobile,Domestic,Card,0
801.07,15,65,25,Low,3,E-commerce,Desktop,Domestic,Card,0
206.88,7,31,89,Medium,1,POS,Mobile,Domestic,UPI,0
223.88,16,36,54,Low,2,In-App,Desktop,Domestic,Card,0
5615.3,12,46,12,Low,2,In-App,Mobile,Domestic,Card,0
532.57,3,39,65,Low,4,POS,Mobile,Domestic,Card,0
976.58,19,47,54,Low,2,E-commerce,Desktop,Domestic,Card,1
642.58,9,32,106,Low,3,E-commerce,Mobile,Domestic,UPI,0
1096.25,21,38,67,Medium,3,E-commerce,Mobile,Domestic,Card,0
179.88,19,43,21,Low,1,POS,Mobile,Domestic,UPI,0
1830.03,15,53,5,Low,4,E-commerce,Mobile,International,UPI,0
175.02,16,29,58,Low,4,E-commerce,Mobile,Domestic,Wallet,0
4028.06,7,24,79,Low,2,POS,Mobile,Domestic,Card,0
665.49,10,28,4,High,2,In-App,Mobile,International,Card,1
1941.39,4,56,19,Medium,5,POS,Mobile,Domestic,Wallet,0
5302.31,20,37,81,Medium,1,E-commerce,Mobile,International,Card,1
2630.83,15,52,55,Low,1,POS,Mobile,Domestic,Card,0
1903.34,23,21,61,Low,4,POS,Mobile,Domestic,Wallet,0
980.14,7,19,72,Low,2,E-commerce,Desktop,International,Card,0
1012.42,20,37,101,Medium,2,In-App,Mobile,Domestic,Wallet,0
2767.77,15,64,24,Low,2,POS,Mobile,Domestic,Wallet,0
12848.74,3,37,68,Low,2,POS,Mobile,International,Card,1
2710.58,5,29,88,Low,0,E-commerce,Mobile,International,Card,0
2039.89,20,34,19,Low,3,In-App,Mobile,International,UPI,0
3279.36,7,35,24,Medium,8,E-commerce,Mobile,Domestic,UPI,0
1564.68,8,57,54,Low,3,E-commerce,Mobile,Domestic,Card,0
155.07,12,41,105,Low,1,In-App,Desktop,Domestic,Card,0
2065.54,16,25,109,Low,3,POS,Desktop,Domestic,Card,0
7903.01,8,54,21,Medium,4,POS,Mobile,Domestic,UPI,1
481.85,12,58,81,Low,2,E-commerce,Mobile,Domestic,Wallet,0
2928.0,8,47,72,Low,3,POS,Tablet,Domestic,UPI,0
560.78,5,37,95,High,3,POS,Desktop,Domestic,Wallet,1
1918.75,9,69,19,Low,4,E-commerce,Mobile,International,UPI,0
254.19,4,40,75,Low,6,E-commerce,Mobile,Domestic,Card,0
1496.28,6,54,53,Medium,5,POS,Mobile,Domestic,UPI,0
3528.14,10,27,110,Low,6,E-commerce,Mobile,Domestic,Card,0
1067.63,23,50,50,Low,3,POS,Desktop,Domestic,Card,0
2733.4,8,41,23,Low,1,POS,Mobile,Domestic,Card,0
3967.36,9,53,37,Low,2,E-commerce,Mobile,Domestic,UPI,0
6549.34,10,33,28,High,4,POS,Desktop,Domestic,Wallet,0
668.53,2,67,87,Medium,2,POS,Desktop,Domestic,Wallet,0
1274.22,7,45,76,Low,2,E-commerce,Desktop,Domestic,Card,1
413.41,16,29,80,High,0,E-commerce,Mobile,Domestic,Wallet,0
12226.64,6,37,80,Medium,2,E-commerce,Desktop,Domestic,UPI,0
6543.27,11,64,78,Low,3,In-App,Desktop,Domestic,UPI,0
1941.09,15,35,71,Low,3,E-commerce,Desktop,Domestic,Card,0
4613.43,14,54,21,Medium,3,E-commerce,Mobile,Domestic,Wallet,1
1839.92,20,43,21,Low,1,E-commerce,Mobile,Domestic,Card,1
2442.66,12,63,41,Low,0,E-commerce,Desktop,Domestic,Card,0
233.37,17,24,35,Low,3,POS,Mobile,Domestic,Card,0
3519.0,17,60,110,Low,3,In-App,Mobile,International,Card,1
341.59,23,64,88,Medium,2,E-commerce,Desktop,Domestic,Wallet,1
4372.72,4,38,1,Low,1,E-commerce,Desktop,Domestic,Card,0
3808.47,13,60,78,Low,1,E-commerce,Desktop,Domestic,Card,0
3083.89,10,49,84,Low,5,POS,Mobile,Domestic,Card,0
92.08,2,24,92,Medium,4,POS,Mobile,Domestic,UPI,0
902.89,16,40,82,Low,3,E-commerce,Mobile,International,Card,0
763.3,22,37,67,Medium,3,In-App,Desktop,Domestic,Card,0
1116.25,11,37,91,Low,6,POS,Mobile,Domestic,Card,0
229.31,2,49,70,Low,6,POS,Mobile,Domestic,Card,0
6909.88,22,43,4,Low,4,POS,Mobile,Domestic,UPI,1
2017.48,1,53,1,Medium,2,E-commerce,Mobile,Domestic,UPI,1
911.5,3,41,21,Low,0,In-App,Mobile,Domestic,UPI,0
1264.52,17,18,99,Medium,4,E-commerce,Desktop,Domestic,Card,0
1481.91,19,45,92,Low,8,POS,Mobile,Domestic,Wallet,1
2294.44,20,43,82,High,1,In-App,Mobile,Domestic,Card,0
1812.52,13,51,116,Low,2,In-App,Mobile,Domestic,Card,0
6295.39,7,43,52,Low,1,POS,Mobile,Domestic,Wallet,0
1717.73,1,53,99,Low,0,E-commerce,Desktop,Domestic,Card,0
12120.66,18,22,53,Low,7,E-commerce,Desktop,Domestic,Card,1
4766.66,9,19,85,High,1,POS,Mobile,Domestic,UPI,1
584.6,4,49,80,Low,3,E-commerce,Desktop,Domestic,Card,0
6669.5,10,51,56,Medium,2,POS,Mobile,International,Wallet,1
309.28,8,67,90,Low,4,POS,Mobile,Domestic,Card,0
4251.82,15,47,103,Medium,5,POS,Desktop,International,Card,0
1197.6,4,41,73,High,2,E-commerce,Desktop,Domestic,UPI,0
5258.81,14,45,87,High,2,E-commerce,Mobile,Domestic,UPI,0
5063.46,13,63,66,Low,4,E-commerce,Desktop,Domestic,UPI,1
4098.78,8,20,67,Medium,2,E-commerce,Mobile,Domestic,Card,0
3901.98,19,67,118,Low,1,In-App,Mobile,Domestic,Card,1
908.45,4,27,33,Low,1,In-App,Desktop,Domestic,Card,0
210.95,14,23,88,Medium,2,In-App,Desktop,Domestic,Card,1
1289.51,8,51,23,Low,4,E-commerce,Desktop,Domestic,Card,1
476.46,3,48,6,Low,4,E-commerce,Desktop,Domestic,Card,1
2968.21,20,69,85,High,1,In-App,Mobile,Domestic,Card,1
1062.0,20,60,47,Medium,2,E-commerce,Mobile,Domestic,Card,0
9283.98,3,67,58,Low,1,POS,Desktop,Domestic,UPI,1
2560.89,19,63,5,Low,6,E-commerce,Mobile,Domestic,Card,0
4321.69,20,69,77,Low,3,In-App,Mobile,Domestic,Wallet,1
355.42,21,30,104,Low,1,In-App,Mobile,Domestic,UPI,0
4951.52,6,56,77,Medium,1,E-commerce,Mobile,Domestic,Card,0
6402.0,14,37,83,Medium,0,POS,Mobile,Domestic,Card,1
1669.0,21,49,9,High,3,POS,Mobile,International,Card,1
2330.12,16,27,3,Low,3,E-commerce,Mobile,Domestic,UPI,0
3618.4,17,43,61,High,1,E-commerce,Desktop,Domestic,UPI,1
480.44,6,36,95,Medium,2,E-commerce,Desktop,International,Card,0
1745.73,18,46,64,Low,0,In-App,Desktop,Domestic,UPI,0
1271.5,9,30,46,Low,1,E-commerce,Mobile,Domestic,Card,0
395.66,12,51,56,Low,5,POS,Mobile,Domestic,Wallet,1
1145.32,1,37,39,Low,2,E-commerce,Mobile,Domestic,UPI,1
176.52,21,61,13,Low,3,E-commerce,Mobile,Domestic,Card,0
65.38,19,57,41,Low,1,POS,Mobile,International,Card,0
363.05,10,35,11,Low,6,E-commerce,Mobile,Domestic,UPI,0
8249.88,4,51,41,High,3,In-App,Desktop,Domestic,Card,1
1993.66,5,65,75,High,3,POS,Desktop,Domestic,Wallet,1
8440.44,2,25,110,Low,4,POS,Desktop,Domestic,Wallet,0
1416.28,0,33,47,Low,3,POS,Mobile,Domestic,Card,1
934.25,2,57,49,Low,6,In-App,Desktop,Domestic,Wallet,1
1763.77,2,40,65,Low,3,E-commerce,Desktop,Domestic,Card,0
1447.37,21,49,35,High,1,E-commerce,Desktop,Domestic,UPI,1
279.19,3,30,119,Low,3,E-commerce,Mobile,Domestic,UPI,0
2559.87,6,43,35,Medium,3,In-App,Tablet,Domestic,Wallet,0
608.49,14,55,67,Low,2,E-commerce,Desktop,Domestic,Card,0
2416.25,10,18,4,Low,2,E-commerce,Desktop,Domestic,Card,1
2625.99,17,19,24,Low,3,E-commerce,Mobile,Domestic,Wallet,0
412.26,11,56,94,Medium,1,E-commerce,Desktop,Domestic,Card,0
158.28,3,30,96,Low,2,E-commerce,Mobile,Domestic,Card,0
3793.99,23,44,113,High,2,E-commerce,Desktop,Domestic,Card,0
1539.54,10,21,84,High,1,POS,Desktop,Domestic,UPI,0
